"","location","furnished","price_bdt.mean","price_bdt.median"
"1","banani","furnished", 267594.5, 130000.0
"2","baridhara diplomatic zone","furnished", 202000.0, 135000.0
"3","chanpara bazar","furnished", 198333.3, 187500.0
"4","gulshan","furnished",1155437.0, 160000.0
"5","tejgaon","furnished", 658500.0, 658500.0
"6","banani","semi-furnished", 197625.0, 140000.0
"7","baridhara diplomatic zone","semi-furnished", 240500.0, 250000.0
"8","gulshan","semi-furnished",4629930.2, 220000.0
"9","banani","un-furnished",2313229.1, 200000.0
"10","baridhara diplomatic zone","un-furnished",4828170.7, 250000.0
"11","chanpara bazar","un-furnished", 194285.7, 150000.0
"12","gulshan","un-furnished",6350138.5, 250000.0
"13","tejgaon","un-furnished",1072315.8, 825000.0
